"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","sbav_profit","sbavp_wosp"
"52","Central","Fixed",0,0,0.01,7,8.2,1177.24503,0.8,2460,1177.24503,1177.24503
"53","Central","Fixed",0,0,0.01,8,8.2,1522.89003,0.7,2152.5,1522.89003,1522.89003
"54","Central","Fixed",0,0,0.01,9,8.2,1253.53503,0.6,1845,1253.53503,1253.53503
"55","Central","Tracking",0,0,0.01,4,4.6,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"56","Central","Tracking",0,0,0.01,5,4.6,1024.66503,1.2,3690,1024.66503,1024.66503
"57","Central","Tracking",0,0,0.01,6,4.6,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"58","Central","Tracking",0,0,0.01,7,4.6,1177.24503,0.8,2460,1177.24503,1177.24503
"59","Central","Tracking",0,0,0.01,8,4.6,1522.89003,0.7,2152.5,1522.89003,1522.89003
"60","Central","Tracking",0,0,0.01,9,4.6,1253.53503,0.6,1845,1253.53503,1253.53503
"61","Central","Tracking",0,0,0.01,4,6.4,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"62","Central","Tracking",0,0,0.01,5,6.4,1024.66503,1.2,3690,1024.66503,1024.66503
"63","Central","Tracking",0,0,0.01,6,6.4,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"64","Central","Tracking",0,0,0.01,7,6.4,1177.24503,0.8,2460,1177.24503,1177.24503
"65","Central","Tracking",0,0,0.01,8,6.4,1522.89003,0.7,2152.5,1522.89003,1522.89003
"66","Central","Tracking",0,0,0.01,9,6.4,1253.53503,0.6,1845,1253.53503,1253.53503
"67","Central","Tracking",0,0,0.01,4,8.2,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"68","Central","Tracking",0,0,0.01,5,8.2,1024.66503,1.2,3690,1024.66503,1024.66503
"69","Central","Tracking",0,0,0.01,6,8.2,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"70","Central","Tracking",0,0,0.01,7,8.2,1177.24503,0.8,2460,1177.24503,1177.24503
"71","Central","Tracking",0,0,0.01,8,8.2,1522.89003,0.7,2152.5,1522.89003,1522.89003
"72","Central","Tracking",0,0,0.01,9,8.2,1253.53503,0.6,1845,1253.53503,1253.53503
"73","Northern","Fixed",0,0,0.01,4,4.6,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"74","Northern","Fixed",0,0,0.01,5,4.6,1024.66503,1.2,3690,1024.66503,1024.66503
"75","Northern","Fixed",0,0,0.01,6,4.6,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"76","Northern","Fixed",0,0,0.01,7,4.6,1177.24503,0.8,2460,1177.24503,1177.24503
"77","Northern","Fixed",0,0,0.01,8,4.6,1522.89003,0.7,2152.5,1522.89003,1522.89003
"78","Northern","Fixed",0,0,0.01,9,4.6,1253.53503,0.6,1845,1253.53503,1253.53503
"79","Northern","Fixed",0,0,0.01,4,6.4,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"80","Northern","Fixed",0,0,0.01,5,6.4,1024.66503,1.2,3690,1024.66503,1024.66503
"81","Northern","Fixed",0,0,0.01,6,6.4,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"82","Northern","Fixed",0,0,0.01,7,6.4,1177.24503,0.8,2460,1177.24503,1177.24503
"83","Northern","Fixed",0,0,0.01,8,6.4,1522.89003,0.7,2152.5,1522.89003,1522.89003
"84","Northern","Fixed",0,0,0.01,9,6.4,1253.53503,0.6,1845,1253.53503,1253.53503
"85","Northern","Fixed",0,0,0.01,4,8.2,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"86","Northern","Fixed",0,0,0.01,5,8.2,1024.66503,1.2,3690,1024.66503,1024.66503
"87","Northern","Fixed",0,0,0.01,6,8.2,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"88","Northern","Fixed",0,0,0.01,7,8.2,1177.24503,0.8,2460,1177.24503,1177.24503
"89","Northern","Fixed",0,0,0.01,8,8.2,1522.89003,0.7,2152.5,1522.89003,1522.89003
"90","Northern","Fixed",0,0,0.01,9,8.2,1253.53503,0.6,1845,1253.53503,1253.53503
"91","Northern","Tracking",0,0,0.01,4,4.6,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"92","Northern","Tracking",0,0,0.01,5,4.6,1024.66503,1.2,3690,1024.66503,1024.66503
"93","Northern","Tracking",0,0,0.01,6,4.6,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"94","Northern","Tracking",0,0,0.01,7,4.6,1177.24503,0.8,2460,1177.24503,1177.24503
"95","Northern","Tracking",0,0,0.01,8,4.6,1522.89003,0.7,2152.5,1522.89003,1522.89003
"96","Northern","Tracking",0,0,0.01,9,4.6,1253.53503,0.6,1845,1253.53503,1253.53503
"97","Northern","Tracking",0,0,0.01,4,6.4,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"98","Northern","Tracking",0,0,0.01,5,6.4,1024.66503,1.2,3690,1024.66503,1024.66503
"99","Northern","Tracking",0,0,0.01,6,6.4,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"100","Northern","Tracking",0,0,0.01,7,6.4,1177.24503,0.8,2460,1177.24503,1177.24503
"101","Northern","Tracking",0,0,0.01,8,6.4,1522.89003,0.7,2152.5,1522.89003,1522.89003
"102","Northern","Tracking",0,0,0.01,9,6.4,1253.53503,0.6,1845,1253.53503,1253.53503
"103","Northern","Tracking",0,0,0.01,4,8.2,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"104","Northern","Tracking",0,0,0.01,5,8.2,1024.66503,1.2,3690,1024.66503,1024.66503
"105","Northern","Tracking",0,0,0.01,6,8.2,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"106","Northern","Tracking",0,0,0.01,7,8.2,1177.24503,0.8,2460,1177.24503,1177.24503
"107","Northern","Tracking",0,0,0.01,8,8.2,1522.89003,0.7,2152.5,1522.89003,1522.89003
"108","Northern","Tracking",0,0,0.01,9,8.2,1253.53503,0.6,1845,1253.53503,1253.53503
"109","Southern","Fixed",0,0,0.01,4,4.6,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"110","Southern","Fixed",0,0,0.01,5,4.6,1024.66503,1.2,3690,1024.66503,1024.66503
"111","Southern","Fixed",0,0,0.01,6,4.6,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"112","Southern","Fixed",0,0,0.01,7,4.6,1177.24503,0.8,2460,1177.24503,1177.24503
"113","Southern","Fixed",0,0,0.01,8,4.6,1522.89003,0.7,2152.5,1522.89003,1522.89003
"114","Southern","Fixed",0,0,0.01,9,4.6,1253.53503,0.6,1845,1253.53503,1253.53503
"115","Southern","Fixed",0,0,0.01,4,6.4,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"116","Southern","Fixed",0,0,0.01,5,6.4,1024.66503,1.2,3690,1024.66503,1024.66503
"117","Southern","Fixed",0,0,0.01,6,6.4,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"118","Southern","Fixed",0,0,0.01,7,6.4,1177.24503,0.8,2460,1177.24503,1177.24503
"119","Southern","Fixed",0,0,0.01,8,6.4,1522.89003,0.7,2152.5,1522.89003,1522.89003
"120","Southern","Fixed",0,0,0.01,9,6.4,1253.53503,0.6,1845,1253.53503,1253.53503
"121","Southern","Fixed",0,0,0.01,4,8.2,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"122","Southern","Fixed",0,0,0.01,5,8.2,1024.66503,1.2,3690,1024.66503,1024.66503
"123","Southern","Fixed",0,0,0.01,6,8.2,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"124","Southern","Fixed",0,0,0.01,7,8.2,1177.24503,0.8,2460,1177.24503,1177.24503
"125","Southern","Fixed",0,0,0.01,8,8.2,1522.89003,0.7,2152.5,1522.89003,1522.89003
"126","Southern","Fixed",0,0,0.01,9,8.2,1253.53503,0.6,1845,1253.53503,1253.53503
"127","Southern","Tracking",0,0,0.01,4,4.6,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"128","Southern","Tracking",0,0,0.01,5,4.6,1024.66503,1.2,3690,1024.66503,1024.66503
"129","Southern","Tracking",0,0,0.01,6,4.6,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"130","Southern","Tracking",0,0,0.01,7,4.6,1177.24503,0.8,2460,1177.24503,1177.24503
"131","Southern","Tracking",0,0,0.01,8,4.6,1522.89003,0.7,2152.5,1522.89003,1522.89003
"132","Southern","Tracking",0,0,0.01,9,4.6,1253.53503,0.6,1845,1253.53503,1253.53503
"133","Southern","Tracking",0,0,0.01,4,6.4,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"134","Southern","Tracking",0,0,0.01,5,6.4,1024.66503,1.2,3690,1024.66503,1024.66503
"135","Southern","Tracking",0,0,0.01,6,6.4,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"136","Southern","Tracking",0,0,0.01,7,6.4,1177.24503,0.8,2460,1177.24503,1177.24503
"137","Southern","Tracking",0,0,0.01,8,6.4,1522.89003,0.7,2152.5,1522.89003,1522.89003
"138","Southern","Tracking",0,0,0.01,9,6.4,1253.53503,0.6,1845,1253.53503,1253.53503
