"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2"
"0.0430.4Northern",-10970.17,-10970.17,-10970.17,-10970.17,-10970.17,-10970.17,-12631.59,-13108.87,-14001.44,-12634.46,-12984.67,-13334.88,-17617.33,-19526.45,-23096.74,-17628.48,-19029.32,-20430.17,-22603.54,-25944.49,-32192.5,-22623.43,-25074.91,-27526.38,-25927.21,-30222.72,-38255.87,-25953.03,-29104.93,-32256.82,-27589.09,-32361.88,-41287.61,-27617.78,-31119.89,-34622,-30912.81,-36640.15,-47351.03,-30947.33,-35149.86,-39352.39,-30912.81,-36640.15,-47351.03,-30947.33,-35149.86,-39352.39
"0.0260.4Northern",-7280.17,-7280.17,-7280.17,-7280.17,-7280.17,-7280.17,-9707.15,-10184.43,-11077,-9820.52,-10170.73,-10520.94,-16988.93,-18898.05,-22468.34,-17442.22,-18843.06,-20243.91,-24270.98,-27611.93,-33859.94,-25064.45,-27515.93,-29967.4,-29125.41,-33420.92,-41454.07,-30145.73,-33297.63,-36449.52,-31552.65,-36325.44,-45251.17,-32686.34,-36188.45,-39690.56,-36407.11,-42134.45,-52845.33,-37767.59,-41970.12,-46172.65,-36407.11,-42134.45,-52845.33,-37767.59,-41970.12,-46172.65
"0.0360.4Northern",-7280.17,-7280.17,-7280.17,-7280.17,-7280.17,-7280.17,-9324.37,-9801.65,-10694.22,-9382.49,-9732.7,-10082.91,-15458.13,-17367.25,-20937.54,-15690.35,-17091.19,-18492.04,-21592.26,-24933.21,-31181.22,-21998.94,-24450.42,-26901.89,-25681.31,-29976.82,-38009.97,-26204.38,-29356.28,-32508.17,-27725.87,-32498.66,-41424.39,-28307.06,-31809.17,-35311.28,-31814.96,-37542.3,-48253.18,-32512.46,-36714.99,-40917.52,-31814.96,-37542.3,-48253.18,-32512.46,-36714.99,-40917.52
"0.0460.4Northern",-7280.17,-7280.17,-7280.17,-7280.17,-7280.17,-7280.17,-8941.59,-9418.87,-10311.44,-8944.46,-9294.67,-9644.88,-13927.33,-15836.45,-19406.74,-13938.48,-15339.32,-16740.17,-18913.54,-22254.49,-28502.5,-18933.43,-21384.91,-23836.38,-22237.21,-26532.72,-34565.87,-22263.03,-25414.93,-28566.82,-23899.09,-28671.88,-37597.61,-23927.78,-27429.89,-30932,-27222.81,-32950.15,-43661.03,-27257.33,-31459.86,-35662.39,-27222.81,-32950.15,-43661.03,-27257.33,-31459.86,-35662.39
"0.0290.4Northern",-3590.17,-3590.17,-3590.17,-3590.17,-3590.17,-3590.17,-6017.15,-6494.43,-7387,-6130.52,-6480.73,-6830.94,-13298.93,-15208.05,-18778.34,-13752.22,-15153.06,-16553.91,-20580.98,-23921.93,-30169.94,-21374.45,-23825.93,-26277.4,-25435.41,-29730.92,-37764.07,-26455.73,-29607.63,-32759.52,-27862.65,-32635.44,-41561.17,-28996.34,-32498.45,-36000.56,-32717.11,-38444.45,-49155.33,-34077.59,-38280.12,-42482.65,-32717.11,-38444.45,-49155.33,-34077.59,-38280.12,-42482.65
"0.0390.4Northern",-3590.17,-3590.17,-3590.17,-3590.17,-3590.17,-3590.17,-5634.37,-6111.65,-7004.22,-5692.49,-6042.7,-6392.91,-11768.13,-13677.25,-17247.54,-12000.35,-13401.19,-14802.04,-17902.26,-21243.21,-27491.22,-18308.94,-20760.42,-23211.89,-21991.31,-26286.82,-34319.97,-22514.38,-25666.28,-28818.17,-24035.87,-28808.66,-37734.39,-24617.06,-28119.17,-31621.28,-28124.96,-33852.3,-44563.18,-28822.46,-33024.99,-37227.52,-28124.96,-33852.3,-44563.18,-28822.46,-33024.99,-37227.52
"0.0490.4Northern",-3590.17,-3590.17,-3590.17,-3590.17,-3590.17,-3590.17,-5251.59,-5728.87,-6621.44,-5254.46,-5604.67,-5954.88,-10237.33,-12146.45,-15716.74,-10248.48,-11649.32,-13050.17,-15223.54,-18564.49,-24812.5,-15243.43,-17694.91,-20146.38,-18547.21,-22842.72,-30875.87,-18573.03,-21724.93,-24876.82,-20209.09,-24981.88,-33907.61,-20237.78,-23739.89,-27242,-23532.81,-29260.15,-39971.03,-23567.33,-27769.86,-31972.39,-23532.81,-29260.15,-39971.03,-23567.33,-27769.86,-31972.39
"0.0230.5Northern",-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-12820.3,-13297.57,-14190.15,-12933.67,-13283.88,-13634.09,-20102.08,-22011.19,-25581.48,-20555.37,-21956.21,-23357.05,-27384.12,-30725.07,-36973.08,-28177.6,-30629.07,-33080.55,-32238.55,-36534.06,-44567.22,-33258.87,-36410.77,-39562.67,-34665.8,-39438.58,-48364.31,-35799.48,-39301.59,-42803.7,-39520.25,-45247.6,-55958.47,-40880.73,-45083.26,-49285.79,-39520.25,-45247.6,-55958.47,-40880.73,-45083.26,-49285.79
"0.0330.5Northern",-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-12437.52,-12914.79,-13807.37,-12495.64,-12845.85,-13196.06,-18571.28,-20480.39,-24050.68,-18803.5,-20204.34,-21605.18,-24705.4,-28046.35,-34294.36,-25112.09,-27563.56,-30015.04,-28794.45,-33089.96,-41123.12,-29317.52,-32469.42,-35621.32,-30839.02,-35611.8,-44537.53,-31420.2,-34922.31,-38424.42,-34928.1,-40655.45,-51366.32,-35625.6,-39828.13,-44030.66,-34928.1,-40655.45,-51366.32,-35625.6,-39828.13,-44030.66
"0.0430.5Northern",-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-12054.74,-12532.01,-13424.59,-12057.61,-12407.82,-12758.03,-17040.48,-18949.59,-22519.88,-17051.63,-18452.47,-19853.31,-22026.68,-25367.63,-31615.64,-22046.58,-24498.05,-26949.53,-25350.35,-29645.86,-37679.02,-25376.17,-28528.07,-31679.97,-27012.24,-31785.02,-40710.75,-27040.92,-30543.03,-34045.14,-30335.95,-36063.3,-46774.17,-30370.47,-34573,-38775.53,-30335.95,-36063.3,-46774.17,-30370.47,-34573,-38775.53
