"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","sbav_profit","sbavp_wocp"
"46","Central","Fixed",0.1,59,0.01,6,4.6,6214.02003,1.3,3997.5,2975.52784863228,1259.57281863228
"47","Central","Fixed",0.1,59,0.01,7,4.6,8404.66503,1.2,3690,5166.17284863228,375.217818632283
"48","Central","Fixed",0.1,59,0.01,8,4.6,12094.66503,1.2,3690,8856.17284863228,990.217818632282
"49","Central","Fixed",0.1,59,0.01,9,4.6,15784.66503,1.2,3690,12546.1728486323,1605.21781863228
"50","Central","Fixed",0.1,59,0.01,3,6.4,-3471.05997,1.7,5227.5,-7295.13105924495,213.913910755054
"51","Central","Fixed",0.1,59,0.01,4,6.4,-12.2699699999976,1.5,4612.5,-3836.34105924494,597.703910755054
"52","Central","Fixed",0.1,59,0.01,5,6.4,3408.37503,1.4,4305,-415.696059244944,943.348910755055
"53","Central","Fixed",0.1,59,0.01,6,6.4,6214.02003,1.3,3997.5,2389.94894075505,673.993910755052
"54","Central","Fixed",0.1,59,0.01,7,6.4,10211.52003,1.3,3997.5,6387.44894075505,1596.49391075505
"55","Central","Fixed",0.1,59,0.01,8,6.4,12094.66503,1.2,3690,8270.59394075506,404.638910755057
"56","Central","Fixed",0.1,59,0.01,9,6.4,15784.66503,1.2,3690,11960.5939407551,1019.63891075506
"57","Central","Fixed",0.1,59,0.01,3,8.2,-2317.34997,1.9,5842.5,-7236.52966618417,272.515303815827
"58","Central","Fixed",0.1,59,0.01,4,8.2,872.085030000002,1.6,4920,-4047.09466618417,386.950303815825
"59","Central","Fixed",0.1,59,0.01,5,8.2,4600.23003,1.5,4612.5,-318.949666184174,1040.09530381582
"60","Central","Fixed",0.1,59,0.01,6,8.2,7713.37503,1.4,4305,2794.19533381583,1078.24030381583
"61","Central","Fixed",0.1,59,0.01,7,8.2,10211.52003,1.3,3997.5,5292.34033381582,501.385303815822
"62","Central","Fixed",0.1,59,0.01,8,8.2,14209.02003,1.3,3997.5,9289.84033381582,1423.88530381582
"63","Central","Fixed",0.1,59,0.01,9,8.2,18206.52003,1.3,3997.5,13287.3403338158,2346.38530381582
"64","Central","Tracking",0.1,59,0.01,3,4.6,-3471.05997,1.7,5227.5,-6966.80882839166,542.236141608339
"65","Central","Tracking",0.1,59,0.01,4,4.6,-896.624969999997,1.4,4305,-4392.37382839166,41.6711416083399
"66","Central","Tracking",0.1,59,0.01,5,4.6,2216.52003,1.3,3997.5,-1279.22882839166,79.8161416083371
"67","Central","Tracking",0.1,59,0.01,6,4.6,6214.02003,1.3,3997.5,2718.27117160834,1002.31614160834
"68","Central","Tracking",0.1,59,0.01,7,4.6,8404.66503,1.2,3690,4908.91617160834,117.961141608341
"69","Central","Tracking",0.1,59,0.01,8,4.6,12094.66503,1.2,3690,8598.91617160834,732.961141608341
"70","Central","Tracking",0.1,59,0.01,9,4.6,15784.66503,1.2,3690,12288.9161716083,1347.96114160834
"71","Central","Tracking",0.1,59,0.01,3,6.4,-3471.05997,1.7,5227.5,-7396.48685819768,112.558111802322
"72","Central","Tracking",0.1,59,0.01,4,6.4,-12.2699699999976,1.5,4612.5,-3937.69685819768,496.348111802322
"73","Central","Tracking",0.1,59,0.01,5,6.4,3408.37503,1.4,4305,-517.051858197676,841.993111802323
"74","Central","Tracking",0.1,59,0.01,6,6.4,6214.02003,1.3,3997.5,2288.59314180232,572.63811180232
"75","Central","Tracking",0.1,59,0.01,7,6.4,10211.52003,1.3,3997.5,6286.09314180232,1495.13811180232
"76","Central","Tracking",0.1,59,0.01,8,6.4,12094.66503,1.2,3690,8169.23814180233,303.283111802324
"77","Central","Tracking",0.1,59,0.01,9,6.4,15784.66503,1.2,3690,11859.2381418023,918.283111802324
"78","Central","Tracking",0.1,59,0.01,3,8.2,-2894.20497,1.8,5535,-7249.3098880037,259.735081996304
"79","Central","Tracking",0.1,59,0.01,4,8.2,-12.2699699999976,1.5,4612.5,-4367.37488800369,66.6700819963053
"80","Central","Tracking",0.1,59,0.01,5,8.2,3408.37503,1.4,4305,-946.729888003693,412.315081996306
"81","Central","Tracking",0.1,59,0.01,6,8.2,6214.02003,1.3,3997.5,1858.9151119963,142.960081996303
"82","Central","Tracking",0.1,59,0.01,7,8.2,10211.52003,1.3,3997.5,5856.4151119963,1065.4600819963
"83","Central","Tracking",0.1,59,0.01,8,8.2,14209.02003,1.3,3997.5,9853.9151119963,1987.9600819963
"84","Central","Tracking",0.1,59,0.01,9,8.2,15784.66503,1.2,3690,11429.5601119963,488.605081996306
"85","Northern","Fixed",0.1,59,0.01,3,4.6,-4047.91497,1.6,4920,-7300.28715136772,208.757818632281
"86","Northern","Fixed",0.1,59,0.01,4,4.6,-896.624969999997,1.4,4305,-4148.99715136772,285.047818632282
"87","Northern","Fixed",0.1,59,0.01,5,4.6,2216.52003,1.3,3997.5,-1035.85215136772,323.192818632279
"88","Northern","Fixed",0.1,59,0.01,6,4.6,6214.02003,1.3,3997.5,2961.64784863228,1245.69281863228
"89","Northern","Fixed",0.1,59,0.01,7,4.6,8404.66503,1.2,3690,5152.29284863228,361.337818632283
"90","Northern","Fixed",0.1,59,0.01,8,4.6,12094.66503,1.2,3690,8842.29284863228,976.337818632283
"91","Northern","Fixed",0.1,59,0.01,9,4.6,15784.66503,1.2,3690,12532.2928486323,1591.33781863228
"92","Northern","Fixed",0.1,59,0.01,3,6.4,-3471.05997,1.7,5227.5,-7309.01105924495,200.033910755054
"93","Northern","Fixed",0.1,59,0.01,4,6.4,-12.2699699999976,1.5,4612.5,-3850.22105924494,583.823910755055
"94","Northern","Fixed",0.1,59,0.01,5,6.4,3408.37503,1.4,4305,-429.576059244944,929.468910755055
"95","Northern","Fixed",0.1,59,0.01,6,6.4,6214.02003,1.3,3997.5,2376.06894075505,660.113910755052
"96","Northern","Fixed",0.1,59,0.01,7,6.4,10211.52003,1.3,3997.5,6373.56894075505,1582.61391075505
"97","Northern","Fixed",0.1,59,0.01,8,6.4,12094.66503,1.2,3690,8256.71394075506,390.758910755056
"98","Northern","Fixed",0.1,59,0.01,9,6.4,15784.66503,1.2,3690,11946.7139407551,1005.75891075506
"99","Northern","Fixed",0.1,59,0.01,3,8.2,-2317.34997,1.9,5842.5,-7250.40966618417,258.635303815827
"100","Northern","Fixed",0.1,59,0.01,4,8.2,872.085030000002,1.6,4920,-4060.97466618417,373.070303815824
