"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2"
"0.03200.4Southern",-2513,-2513,-2513,-2513,-2513,-2513,-4921,-5506,-6601,-5041,-5471,-5900,-12146,-14489,-18869,-12627,-14346,-16065,-19372,-23471,-31137,-20214,-23222,-26230,-24189,-29459,-39315,-25272,-29139,-33006,-26597,-32453,-43404,-27801,-32097,-36394,-31414,-38441,-51583,-32858,-38014,-43171,-31414,-38441,-51583,-32858,-38014,-43171
"0.04200.4Southern",-2513,-2513,-2513,-2513,-2513,-2513,-4512,-5097,-6192,-4566,-4995,-5425,-10511,-12853,-17233,-10726,-12445,-14164,-16510,-20609,-28275,-16887,-19895,-22903,-20509,-25779,-35635,-20995,-24862,-28729,-22508,-28364,-39315,-23048,-27345,-31642,-26508,-33534,-46676,-27155,-32311,-37468,-26508,-33534,-46676,-27155,-32311,-37468
"0.02230.4Southern",-881,-881,-881,-881,-881,-881,-3698,-4283,-5378,-3884,-4314,-4744,-12150,-14492,-18873,-12896,-14615,-16334,-20602,-24701,-32367,-21909,-24917,-27924,-26237,-31507,-41363,-27917,-31784,-35651,-29054,-34910,-45861,-30921,-35218,-39515,-34689,-41716,-54857,-36929,-42085,-47242,-34689,-41716,-54857,-36929,-42085,-47242
"0.03230.4Southern",-881,-881,-881,-881,-881,-881,-3289,-3874,-4969,-3409,-3839,-4268,-10514,-12857,-17237,-10995,-12714,-14433,-17740,-21839,-29505,-18582,-21590,-24598,-22557,-27827,-37683,-23640,-27507,-31374,-24965,-30821,-41772,-26169,-30465,-34762,-29782,-36809,-49951,-31226,-36382,-41539,-29782,-36809,-49951,-31226,-36382,-41539
"0.04230.4Southern",-881,-881,-881,-881,-881,-881,-2880,-3465,-4560,-2934,-3363,-3793,-8879,-11221,-15601,-9094,-10813,-12532,-14878,-18977,-26643,-15255,-18263,-21271,-18877,-24147,-34003,-19363,-23230,-27097,-20876,-26732,-37683,-21416,-25713,-30010,-24876,-31902,-45044,-25523,-30679,-35836,-24876,-31902,-45044,-25523,-30679,-35836
"0.02170.5Southern",-2531,-2531,-2531,-2531,-2531,-2531,-5348,-5933,-7028,-5534,-5964,-6394,-13800,-16142,-20523,-14546,-16265,-17984,-22252,-26351,-34017,-23559,-26567,-29574,-27887,-33157,-43013,-29567,-33434,-37301,-30704,-36560,-47511,-32571,-36868,-41165,-36339,-43366,-56507,-38579,-43735,-48892,-36339,-43366,-56507,-38579,-43735,-48892
"0.03170.5Southern",-2531,-2531,-2531,-2531,-2531,-2531,-4939,-5524,-6619,-5059,-5489,-5918,-12164,-14507,-18887,-12645,-14364,-16083,-19390,-23489,-31155,-20232,-23240,-26248,-24207,-29477,-39333,-25290,-29157,-33024,-26615,-32471,-43422,-27819,-32115,-36412,-31432,-38459,-51601,-32876,-38032,-43189,-31432,-38459,-51601,-32876,-38032,-43189
"0.04170.5Southern",-2531,-2531,-2531,-2531,-2531,-2531,-4530,-5115,-6210,-4584,-5013,-5443,-10529,-12871,-17251,-10744,-12463,-14182,-16528,-20627,-28293,-16905,-19913,-22921,-20527,-25797,-35653,-21013,-24880,-28747,-22526,-28382,-39333,-23066,-27363,-31660,-26526,-33552,-46694,-27173,-32329,-37486,-26526,-33552,-46694,-27173,-32329,-37486
"0.02200.5Southern",-491,-491,-491,-491,-491,-491,-3308,-3893,-4988,-3494,-3924,-4354,-11760,-14102,-18483,-12506,-14225,-15944,-20212,-24311,-31977,-21519,-24527,-27534,-25847,-31117,-40973,-27527,-31394,-35261,-28664,-34520,-45471,-30531,-34828,-39125,-34299,-41326,-54467,-36539,-41695,-46852,-34299,-41326,-54467,-36539,-41695,-46852
"0.03200.5Southern",-491,-491,-491,-491,-491,-491,-2899,-3484,-4579,-3019,-3449,-3878,-10124,-12467,-16847,-10605,-12324,-14043,-17350,-21449,-29115,-18192,-21200,-24208,-22167,-27437,-37293,-23250,-27117,-30984,-24575,-30431,-41382,-25779,-30075,-34372,-29392,-36419,-49561,-30836,-35992,-41149,-29392,-36419,-49561,-30836,-35992,-41149
