"","0.00%_Fixed_4.6","0.00%_Fixed_6.4","0.00%_Fixed_8.2","0.00%_Tracking_4.6","0.00%_Tracking_6.4","0.00%_Tracking_8.2","0.25%_Fixed_4.6","0.25%_Fixed_6.4","0.25%_Fixed_8.2","0.25%_Tracking_4.6","0.25%_Tracking_6.4","0.25%_Tracking_8.2","0.50%_Fixed_4.6","0.50%_Fixed_6.4","0.50%_Fixed_8.2","0.50%_Tracking_4.6","0.50%_Tracking_6.4","0.50%_Tracking_8.2","0.75%_Fixed_4.6","0.75%_Fixed_6.4","0.75%_Fixed_8.2","0.75%_Tracking_4.6","0.75%_Tracking_6.4","0.75%_Tracking_8.2","1.00%_Fixed_4.6","1.00%_Fixed_6.4","1.00%_Fixed_8.2","1.00%_Tracking_4.6","1.00%_Tracking_6.4","1.00%_Tracking_8.2"
"0.01_3_1.5_Northern",-4624.77,-4624.77,-4624.77,-4624.77,-4624.77,-4624.77,-3474.88,-3476.42,-3479.31,-3305.25,-3306.38,-3307.51,-1942.25,-1945.86,-1952.59,-1546.24,-1548.88,-1551.52,-409.34,-415,-425.59,212.88,208.73,204.57,1123.55,1115.83,1101.4,1972,1966.33,1960.67
"0.03_3_1.5_Northern",-4624.77,-4624.77,-4624.77,-4624.77,-4624.77,-4624.77,-1155.93,-1157.47,-1160.36,-645.36,-646.49,-647.62,3467.49,3463.88,3457.15,4659.46,4656.82,4654.18,8091.77,8086.11,8075.52,9964.61,9960.46,9956.3,12716,12708.28,12693.85,15269.76,15264.09,15258.43
"0.06_3_1.5_Northern",-4624.77,-4624.77,-4624.77,-4624.77,-4624.77,-4624.77,2322.5,2320.96,2318.07,3344.48,3343.34,3342.21,11582.1,11578.49,11571.76,13968.01,13965.37,13962.73,20843.43,20837.77,20827.19,24592.2,24588.05,24583.9,30104.68,30096.96,30082.53,35216.4,35210.73,35205.07
"0.01_6_1.5_Northern",9212.73,9212.73,9212.73,9212.73,9212.73,9212.73,10362.62,10361.08,10358.19,10532.25,10531.12,10529.99,11895.25,11891.64,11884.91,12291.26,12288.62,12285.98,13428.16,13422.5,13411.91,14050.38,14046.23,14042.07,14961.05,14953.33,14938.9,15809.5,15803.83,15798.17
"0.03_6_1.5_Northern",9212.73,9212.73,9212.73,9212.73,9212.73,9212.73,12681.57,12680.03,12677.14,13192.14,13191.01,13189.88,17304.99,17301.38,17294.65,18496.96,18494.32,18491.68,21929.27,21923.61,21913.02,23802.11,23797.96,23793.8,26553.5,26545.78,26531.35,29107.26,29101.59,29095.93
"0.06_6_1.5_Northern",9212.73,9212.73,9212.73,9212.73,9212.73,9212.73,16160,16158.46,16155.57,17181.98,17180.84,17179.71,25419.6,25415.99,25409.26,27805.51,27802.87,27800.23,34680.93,34675.27,34664.69,38429.7,38425.55,38421.4,43942.18,43934.46,43920.03,49053.9,49048.23,49042.57
"0.01_9_1.5_Northern",23050.23,23050.23,23050.23,23050.23,23050.23,23050.23,24200.12,24198.58,24195.69,24369.75,24368.62,24367.49,25732.75,25729.14,25722.41,26128.76,26126.12,26123.48,27265.66,27260,27249.41,27887.88,27883.73,27879.57,28798.55,28790.83,28776.4,29647,29641.33,29635.67
"0.03_9_1.5_Northern",23050.23,23050.23,23050.23,23050.23,23050.23,23050.23,26519.07,26517.53,26514.64,27029.64,27028.51,27027.38,31142.49,31138.88,31132.15,32334.46,32331.82,32329.18,35766.77,35761.11,35750.52,37639.61,37635.46,37631.3,40391,40383.28,40368.85,42944.76,42939.09,42933.43
"0.06_9_1.5_Northern",23050.23,23050.23,23050.23,23050.23,23050.23,23050.23,29997.5,29995.96,29993.07,31019.48,31018.34,31017.21,39257.1,39253.49,39246.76,41643.01,41640.37,41637.73,48518.43,48512.77,48502.19,52267.2,52263.05,52258.9,57779.68,57771.96,57757.53,62891.4,62885.73,62880.07
"0.01_3_1.8_Northern",-2894.2,-2894.2,-2894.2,-2894.2,-2894.2,-2894.2,-1744.31,-1745.85,-1748.74,-1574.68,-1575.82,-1576.95,-211.69,-215.29,-222.03,184.33,181.68,179.04,1321.22,1315.56,1304.98,1943.44,1939.29,1935.14,2854.12,2846.4,2831.97,3702.56,3696.9,3691.24
"0.03_3_1.8_Northern",-2894.2,-2894.2,-2894.2,-2894.2,-2894.2,-2894.2,574.64,573.1,570.21,1085.21,1084.07,1082.94,5198.05,5194.45,5187.71,6390.03,6387.38,6384.74,9822.33,9816.67,9806.09,11695.17,11691.02,11686.87,14446.57,14438.85,14424.42,17000.32,16994.66,16989
"0.06_3_1.8_Northern",-2894.2,-2894.2,-2894.2,-2894.2,-2894.2,-2894.2,4053.06,4051.52,4048.63,5075.04,5073.91,5072.78,13312.66,13309.06,13302.32,15698.58,15695.93,15693.29,22574,22568.34,22557.75,26322.77,26318.62,26314.46,31835.24,31827.52,31813.09,36946.96,36941.3,36935.64
"0.01_6_1.8_Northern",13710.8,13710.8,13710.8,13710.8,13710.8,13710.8,14860.69,14859.15,14856.26,15030.32,15029.18,15028.05,16393.31,16389.71,16382.97,16789.33,16786.68,16784.04,17926.22,17920.56,17909.98,18548.44,18544.29,18540.14,19459.12,19451.4,19436.97,20307.56,20301.9,20296.24
"0.03_6_1.8_Northern",13710.8,13710.8,13710.8,13710.8,13710.8,13710.8,17179.64,17178.1,17175.21,17690.21,17689.07,17687.94,21803.05,21799.45,21792.71,22995.03,22992.38,22989.74,26427.33,26421.67,26411.09,28300.17,28296.02,28291.87,31051.57,31043.85,31029.42,33605.32,33599.66,33594
"0.06_6_1.8_Northern",13710.8,13710.8,13710.8,13710.8,13710.8,13710.8,20658.06,20656.52,20653.63,21680.04,21678.91,21677.78,29917.66,29914.06,29907.32,32303.58,32300.93,32298.29,39179,39173.34,39162.75,42927.77,42923.62,42919.46,48440.24,48432.52,48418.09,53551.96,53546.3,53540.64
"0.01_9_1.8_Northern",30315.8,30315.8,30315.8,30315.8,30315.8,30315.8,31465.69,31464.15,31461.26,31635.32,31634.18,31633.05,32998.31,32994.71,32987.97,33394.33,33391.68,33389.04,34531.22,34525.56,34514.98,35153.44,35149.29,35145.14,36064.12,36056.4,36041.97,36912.56,36906.9,36901.24
"0.03_9_1.8_Northern",30315.8,30315.8,30315.8,30315.8,30315.8,30315.8,33784.64,33783.1,33780.21,34295.21,34294.07,34292.94,38408.05,38404.45,38397.71,39600.03,39597.38,39594.74,43032.33,43026.67,43016.09,44905.17,44901.02,44896.87,47656.57,47648.85,47634.42,50210.32,50204.66,50199
"0.06_9_1.8_Northern",30315.8,30315.8,30315.8,30315.8,30315.8,30315.8,37263.06,37261.52,37258.63,38285.04,38283.91,38282.78,46522.66,46519.06,46512.32,48908.58,48905.93,48903.29,55784,55778.34,55767.75,59532.77,59528.62,59524.46,65045.24,65037.52,65023.09,70156.96,70151.3,70145.64
"0.01_3_2.0_Northern",-1740.49,-1740.49,-1740.49,-1740.49,-1740.49,-1740.49,-590.6,-592.14,-595.03,-420.97,-422.11,-423.24,942.02,938.42,931.68,1338.04,1335.39,1332.75,2474.93,2469.27,2458.69,3097.15,3093,3088.85,4007.83,4000.11,3985.68,4856.27,4850.61,4844.95
"0.03_3_2.0_Northern",-1740.49,-1740.49,-1740.49,-1740.49,-1740.49,-1740.49,1728.35,1726.81,1723.92,2238.92,2237.78,2236.65,6351.76,6348.16,6341.42,7543.74,7541.09,7538.45,10976.04,10970.38,10959.8,12848.88,12844.73,12840.58,15600.28,15592.56,15578.13,18154.03,18148.37,18142.71
"0.06_3_2.0_Northern",-1740.49,-1740.49,-1740.49,-1740.49,-1740.49,-1740.49,5206.77,5205.23,5202.34,6228.75,6227.62,6226.49,14466.37,14462.77,14456.03,16852.29,16849.64,16847,23727.71,23722.05,23711.46,27476.48,27472.33,27468.17,32988.95,32981.23,32966.8,38100.67,38095.01,38089.35
"0.01_6_2.0_Northern",16709.51,16709.51,16709.51,16709.51,16709.51,16709.51,17859.4,17857.86,17854.97,18029.03,18027.89,18026.76,19392.02,19388.42,19381.68,19788.04,19785.39,19782.75,20924.93,20919.27,20908.69,21547.15,21543,21538.85,22457.83,22450.11,22435.68,23306.27,23300.61,23294.95
"0.03_6_2.0_Northern",16709.51,16709.51,16709.51,16709.51,16709.51,16709.51,20178.35,20176.81,20173.92,20688.92,20687.78,20686.65,24801.76,24798.16,24791.42,25993.74,25991.09,25988.45,29426.04,29420.38,29409.8,31298.88,31294.73,31290.58,34050.28,34042.56,34028.13,36604.03,36598.37,36592.71
"0.06_6_2.0_Northern",16709.51,16709.51,16709.51,16709.51,16709.51,16709.51,23656.77,23655.23,23652.34,24678.75,24677.62,24676.49,32916.37,32912.77,32906.03,35302.29,35299.64,35297,42177.71,42172.05,42161.46,45926.48,45922.33,45918.17,51438.95,51431.23,51416.8,56550.67,56545.01,56539.35
"0.01_9_2.0_Northern",35159.51,35159.51,35159.51,35159.51,35159.51,35159.51,36309.4,36307.86,36304.97,36479.03,36477.89,36476.76,37842.02,37838.42,37831.68,38238.04,38235.39,38232.75,39374.93,39369.27,39358.69,39997.15,39993,39988.85,40907.83,40900.11,40885.68,41756.27,41750.61,41744.95
"0.03_9_2.0_Northern",35159.51,35159.51,35159.51,35159.51,35159.51,35159.51,38628.35,38626.81,38623.92,39138.92,39137.78,39136.65,43251.76,43248.16,43241.42,44443.74,44441.09,44438.45,47876.04,47870.38,47859.8,49748.88,49744.73,49740.58,52500.28,52492.56,52478.13,55054.03,55048.37,55042.71
"0.06_9_2.0_Northern",35159.51,35159.51,35159.51,35159.51,35159.51,35159.51,42106.77,42105.23,42102.34,43128.75,43127.62,43126.49,51366.37,51362.77,51356.03,53752.29,53749.64,53747,60627.71,60622.05,60611.46,64376.48,64372.33,64368.17,69888.95,69881.23,69866.8,75000.67,74995.01,74989.35
"0.01_3_0.1_Central",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-11535.49,-11537.03,-11539.92,-11354.06,-11355.19,-11356.32,-9982.44,-9986.04,-9992.78,-9558.85,-9561.49,-9564.13,-8429.08,-8434.74,-8445.32,-7763.52,-7767.67,-7771.83,-6875.73,-6883.45,-6897.88,-5968.19,-5973.86,-5979.52
"0.03_3_0.1_Central",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-9185.82,-9187.36,-9190.25,-8639.85,-8640.98,-8642.11,-4501.13,-4504.73,-4511.47,-3226.43,-3229.07,-3231.71,184.5,178.84,168.26,2187.35,2183.2,2179.04,4870.09,4862.37,4847.94,7601.13,7595.46,7589.8
"0.06_3_0.1_Central",-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-12700.74,-5661.31,-5662.85,-5665.74,-4568.53,-4569.67,-4570.8,3720.84,3717.23,3710.5,6272.2,6269.56,6266.92,13104.87,13099.21,13088.63,17113.65,17109.5,17105.35,22488.82,22481.1,22466.67,27955.11,27949.44,27943.78
"0.01_6_0.1_Central",-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-10612.99,-10614.53,-10617.42,-10431.56,-10432.69,-10433.82,-9059.94,-9063.54,-9070.28,-8636.35,-8638.99,-8641.63,-7506.58,-7512.24,-7522.82,-6841.02,-6845.17,-6849.33,-5953.23,-5960.95,-5975.38,-5045.69,-5051.36,-5057.02
"0.03_6_0.1_Central",-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-8263.32,-8264.86,-8267.75,-7717.35,-7718.48,-7719.61,-3578.63,-3582.23,-3588.97,-2303.93,-2306.57,-2309.21,1107,1101.34,1090.76,3109.85,3105.7,3101.54,5792.59,5784.87,5770.44,8523.63,8517.96,8512.3
"0.06_6_0.1_Central",-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-11778.24,-4738.81,-4740.35,-4743.24,-3646.03,-3647.17,-3648.3,4643.34,4639.73,4633,7194.7,7192.06,7189.42,14027.37,14021.71,14011.13,18036.15,18032,18027.85,23411.32,23403.6,23389.17,28877.61,28871.94,28866.28
"0.01_9_0.1_Central",-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-9690.49,-9692.03,-9694.92,-9509.06,-9510.19,-9511.32,-8137.44,-8141.04,-8147.78,-7713.85,-7716.49,-7719.13,-6584.08,-6589.74,-6600.32,-5918.52,-5922.67,-5926.83,-5030.73,-5038.45,-5052.88,-4123.19,-4128.86,-4134.52
"0.03_9_0.1_Central",-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-7340.82,-7342.36,-7345.25,-6794.85,-6795.98,-6797.11,-2656.13,-2659.73,-2666.47,-1381.43,-1384.07,-1386.71,2029.5,2023.84,2013.26,4032.35,4028.2,4024.04,6715.09,6707.37,6692.94,9446.13,9440.46,9434.8
"0.06_9_0.1_Central",-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-10855.74,-3816.31,-3817.85,-3820.74,-2723.53,-2724.67,-2725.8,5565.84,5562.23,5555.5,8117.2,8114.56,8111.92,14949.87,14944.21,14933.63,18958.65,18954.5,18950.35,24333.82,24326.1,24311.67,29800.11,29794.44,29788.78
"0.01_3_0.3_Central",-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-10381.78,-10383.32,-10386.21,-10200.35,-10201.48,-10202.61,-8828.73,-8832.33,-8839.07,-8405.14,-8407.78,-8410.42,-7275.37,-7281.03,-7291.61,-6609.81,-6613.96,-6618.12,-5722.02,-5729.74,-5744.17,-4814.48,-4820.15,-4825.81
"0.03_3_0.3_Central",-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-8032.11,-8033.65,-8036.54,-7486.14,-7487.27,-7488.4,-3347.42,-3351.02,-3357.76,-2072.72,-2075.36,-2078,1338.21,1332.55,1321.97,3341.06,3336.91,3332.75,6023.8,6016.08,6001.65,8754.84,8749.17,8743.51
"0.06_3_0.3_Central",-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-11547.03,-4507.6,-4509.14,-4512.03,-3414.82,-3415.96,-3417.09,4874.55,4870.94,4864.21,7425.91,7423.27,7420.63,14258.58,14252.92,14242.34,18267.36,18263.21,18259.06,23642.53,23634.81,23620.38,29108.82,29103.15,29097.49
"0.01_6_0.3_Central",-8779.53,-8779.53,-8779.53,-8779.53,-8779.53,-8779.53,-7614.28,-7615.82,-7618.71,-7432.85,-7433.98,-7435.11,-6061.23,-6064.83,-6071.57,-5637.64,-5640.28,-5642.92,-4507.87,-4513.53,-4524.11,-3842.31,-3846.46,-3850.62,-2954.52,-2962.24,-2976.67,-2046.98,-2052.65,-2058.31
"0.03_6_0.3_Central",-8779.53,-8779.53,-8779.53,-8779.53,-8779.53,-8779.53,-5264.61,-5266.15,-5269.04,-4718.64,-4719.77,-4720.9,-579.92,-583.52,-590.26,694.78,692.14,689.5,4105.71,4100.05,4089.47,6108.56,6104.41,6100.25,8791.3,8783.58,8769.15,11522.34,11516.67,11511.01
"0.06_6_0.3_Central",-8779.53,-8779.53,-8779.53,-8779.53,-8779.53,-8779.53,-1740.1,-1741.64,-1744.53,-647.32,-648.46,-649.59,7642.05,7638.44,7631.71,10193.41,10190.77,10188.13,17026.08,17020.42,17009.84,21034.86,21030.71,21026.56,26410.03,26402.31,26387.88,31876.32,31870.65,31864.99
"0.01_9_0.3_Central",-6012.03,-6012.03,-6012.03,-6012.03,-6012.03,-6012.03,-4846.78,-4848.32,-4851.21,-4665.35,-4666.48,-4667.61,-3293.73,-3297.33,-3304.07,-2870.14,-2872.78,-2875.42,-1740.37,-1746.03,-1756.61,-1074.81,-1078.96,-1083.12,-187.02,-194.74,-209.17,720.52,714.85,709.19
"0.03_9_0.3_Central",-6012.03,-6012.03,-6012.03,-6012.03,-6012.03,-6012.03,-2497.11,-2498.65,-2501.54,-1951.14,-1952.27,-1953.4,2187.58,2183.98,2177.24,3462.28,3459.64,3457,6873.21,6867.55,6856.97,8876.06,8871.91,8867.75,11558.8,11551.08,11536.65,14289.84,14284.17,14278.51
"0.06_9_0.3_Central",-6012.03,-6012.03,-6012.03,-6012.03,-6012.03,-6012.03,1027.4,1025.86,1022.97,2120.18,2119.04,2117.91,10409.55,10405.94,10399.21,12960.91,12958.27,12955.63,19793.58,19787.92,19777.34,23802.36,23798.21,23794.06,29177.53,29169.81,29155.38,34643.82,34638.15,34632.49
"0.01_3_0.5_Central",-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-9228.07,-9229.61,-9232.5,-9046.64,-9047.77,-9048.9,-7675.02,-7678.62,-7685.36,-7251.43,-7254.07,-7256.71,-6121.66,-6127.32,-6137.9,-5456.1,-5460.25,-5464.41,-4568.31,-4576.03,-4590.46,-3660.77,-3666.44,-3672.1
"0.03_3_0.5_Central",-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-6878.4,-6879.94,-6882.83,-6332.43,-6333.56,-6334.69,-2193.71,-2197.31,-2204.05,-919.01,-921.65,-924.29,2491.92,2486.26,2475.68,4494.77,4490.62,4486.46,7177.51,7169.79,7155.36,9908.55,9902.88,9897.22
"0.06_3_0.5_Central",-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-10393.32,-3353.89,-3355.43,-3358.32,-2261.11,-2262.25,-2263.38,6028.26,6024.65,6017.92,8579.62,8576.98,8574.34,15412.29,15406.63,15396.05,19421.07,19416.92,19412.77,24796.24,24788.52,24774.09,30262.53,30256.86,30251.2
"0.01_6_0.5_Central",-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,-4615.57,-4617.11,-4620,-4434.14,-4435.27,-4436.4,-3062.52,-3066.12,-3072.86,-2638.93,-2641.57,-2644.21,-1509.16,-1514.82,-1525.4,-843.6,-847.75,-851.91,44.19,36.47,22.04,951.73,946.06,940.4
"0.03_6_0.5_Central",-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,-2265.9,-2267.44,-2270.33,-1719.93,-1721.06,-1722.19,2418.79,2415.19,2408.45,3693.49,3690.85,3688.21,7104.42,7098.76,7088.18,9107.27,9103.12,9098.96,11790.01,11782.29,11767.86,14521.05,14515.38,14509.72
"0.06_6_0.5_Central",-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,-5780.82,1258.61,1257.07,1254.18,2351.39,2350.25,2349.12,10640.76,10637.15,10630.42,13192.12,13189.48,13186.84,20024.79,20019.13,20008.55,24033.57,24029.42,24025.27,29408.74,29401.02,29386.59,34875.03,34869.36,34863.7
"0.01_9_0.5_Central",-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,-3.07,-4.61,-7.5,178.36,177.23,176.1,1549.98,1546.38,1539.64,1973.57,1970.93,1968.29,3103.34,3097.68,3087.1,3768.9,3764.75,3760.59,4656.69,4648.97,4634.54,5564.23,5558.56,5552.9
"0.03_9_0.5_Central",-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,2346.6,2345.06,2342.17,2892.57,2891.44,2890.31,7031.29,7027.69,7020.95,8305.99,8303.35,8300.71,11716.92,11711.26,11700.68,13719.77,13715.62,13711.46,16402.51,16394.79,16380.36,19133.55,19127.88,19122.22
"0.06_9_0.5_Central",-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,-1168.32,5871.11,5869.57,5866.68,6963.89,6962.75,6961.62,15253.26,15249.65,15242.92,17804.62,17801.98,17799.34,24637.29,24631.63,24621.05,28646.07,28641.92,28637.77,34021.24,34013.52,33999.09,39487.53,39481.86,39476.2
"0.01_3_0.7_Central",-9239.61,-9239.61,-9239.61,-9239.61,-9239.61,-9239.61,-8074.36,-8075.9,-8078.79,-7892.93,-7894.06,-7895.19,-6521.31,-6524.91,-6531.65,-6097.72,-6100.36,-6103,-4967.95,-4973.61,-4984.19,-4302.39,-4306.54,-4310.7,-3414.6,-3422.32,-3436.75,-2507.06,-2512.73,-2518.39
"0.03_3_0.7_Central",-9239.61,-9239.61,-9239.61,-9239.61,-9239.61,-9239.61,-5724.69,-5726.23,-5729.12,-5178.72,-5179.85,-5180.98,-1040,-1043.6,-1050.34,234.7,232.06,229.42,3645.63,3639.97,3629.39,5648.48,5644.33,5640.17,8331.22,8323.5,8309.07,11062.26,11056.59,11050.93
"0.06_3_0.7_Central",-9239.61,-9239.61,-9239.61,-9239.61,-9239.61,-9239.61,-2200.18,-2201.72,-2204.61,-1107.4,-1108.54,-1109.67,7181.97,7178.36,7171.63,9733.33,9730.69,9728.05,16566,16560.34,16549.76,20574.78,20570.63,20566.48,25949.95,25942.23,25927.8,31416.24,31410.57,31404.91
"0.01_6_0.7_Central",-2782.11,-2782.11,-2782.11,-2782.11,-2782.11,-2782.11,-1616.86,-1618.4,-1621.29,-1435.43,-1436.56,-1437.69,-63.81,-67.41,-74.15,359.78,357.14,354.5,1489.55,1483.89,1473.31,2155.11,2150.96,2146.8,3042.9,3035.18,3020.75,3950.44,3944.77,3939.11
"0.03_6_0.7_Central",-2782.11,-2782.11,-2782.11,-2782.11,-2782.11,-2782.11,732.81,731.27,728.38,1278.78,1277.65,1276.52,5417.5,5413.9,5407.16,6692.2,6689.56,6686.92,10103.13,10097.47,10086.89,12105.98,12101.83,12097.67,14788.72,14781,14766.57,17519.76,17514.09,17508.43
