,0.00Fixed4.6,0.00Fixed6.4,0.00Fixed8.2,0.00Tracking4.6,0.00Tracking6.4,0.00Tracking8.2,0.25Fixed4.6,0.25Fixed6.4,0.25Fixed8.2,0.25Tracking4.6,0.25Tracking6.4,0.25Tracking8.2,0.50Fixed4.6,0.50Fixed6.4,0.50Fixed8.2,0.50Tracking4.6,0.50Tracking6.4,0.50Tracking8.2,0.75Fixed4.6,0.75Fixed6.4,0.75Fixed8.2,0.75Tracking4.6,0.75Tracking6.4,0.75Tracking8.2,1.00Fixed4.6,1.00Fixed6.4,1.00Fixed8.2,1.00Tracking4.6,1.00Tracking6.4,1.00Tracking8.2
0.04111.0Southern,0,0,0,0,0,0,4898.3,4896.76,4893.87,5693.3,5692.16,5691.03,11426.57,11422.96,11416.23,13282.8,13280.16,13277.52,17956.19,17950.53,17939.95,20872.82,20868.67,20864.52,24485.78,24478.06,24463.63,28462.81,28457.14,28451.48
0.02141.0Southern,0,0,0,0,0,0,2444.36,2442.82,2439.93,2841.44,2840.3,2839.17,5702.11,5698.5,5691.77,6629.24,6626.6,6623.96,8960.53,8954.87,8944.29,10417.3,10413.15,10409,12218.94,12211.22,12196.79,14205.35,14199.68,14194.02
0.03141.0Southern,0,0,0,0,0,0,3671.33,3669.79,3666.9,4267.37,4266.23,4265.1,8564.34,8560.73,8554,9956.02,9953.38,9950.74,13458.36,13452.7,13442.12,15645.06,15640.91,15636.76,18352.36,18344.64,18330.21,21334.08,21328.41,21322.75
0.04141.0Southern,0,0,0,0,0,0,4898.3,4896.76,4893.87,5693.3,5692.16,5691.03,11426.57,11422.96,11416.23,13282.8,13280.16,13277.52,17956.19,17950.53,17939.95,20872.82,20868.67,20864.52,24485.78,24478.06,24463.63,28462.81,28457.14,28451.48
0.02171.0Southern,0,0,0,0,0,0,2444.36,2442.82,2439.93,2841.44,2840.3,2839.17,5702.11,5698.5,5691.77,6629.24,6626.6,6623.96,8960.53,8954.87,8944.29,10417.3,10413.15,10409,12218.94,12211.22,12196.79,14205.35,14199.68,14194.02
0.03171.0Southern,0,0,0,0,0,0,3671.33,3669.79,3666.9,4267.37,4266.23,4265.1,8564.34,8560.73,8554,9956.02,9953.38,9950.74,13458.36,13452.7,13442.12,15645.06,15640.91,15636.76,18352.36,18344.64,18330.21,21334.08,21328.41,21322.75
0.04171.0Southern,0,0,0,0,0,0,4898.3,4896.76,4893.87,5693.3,5692.16,5691.03,11426.57,11422.96,11416.23,13282.8,13280.16,13277.52,17956.19,17950.53,17939.95,20872.82,20868.67,20864.52,24485.78,24478.06,24463.63,28462.81,28457.14,28451.48
0.02111.2Southern,1403.5,1403.5,1403.5,1403.5,1403.5,1403.5,3847.86,3846.32,3843.43,4244.94,4243.8,4242.67,7105.61,7102,7095.27,8032.74,8030.1,8027.46,10364.03,10358.37,10347.79,11820.8,11816.65,11812.5,13622.44,13614.72,13600.29,15608.85,15603.18,15597.52
0.03111.2Southern,1403.5,1403.5,1403.5,1403.5,1403.5,1403.5,5074.83,5073.29,5070.4,5670.87,5669.73,5668.6,9967.84,9964.23,9957.5,11359.52,11356.88,11354.24,14861.86,14856.2,14845.62,17048.56,17044.41,17040.26,19755.86,19748.14,19733.71,22737.58,22731.91,22726.25
0.04111.2Southern,1403.5,1403.5,1403.5,1403.5,1403.5,1403.5,6301.8,6300.26,6297.37,7096.8,7095.66,7094.53,12830.07,12826.46,12819.73,14686.3,14683.66,14681.02,19359.69,19354.03,19343.45,22276.32,22272.17,22268.02,25889.28,25881.56,25867.13,29866.31,29860.64,29854.98
0.02141.2Southern,2057.5,2057.5,2057.5,2057.5,2057.5,2057.5,4501.86,4500.32,4497.43,4898.94,4897.8,4896.67,7759.61,7756,7749.27,8686.74,8684.1,8681.46,11018.03,11012.37,11001.79,12474.8,12470.65,12466.5,14276.44,14268.72,14254.29,16262.85,16257.18,16251.52
0.03141.2Southern,2057.5,2057.5,2057.5,2057.5,2057.5,2057.5,5728.83,5727.29,5724.4,6324.87,6323.73,6322.6,10621.84,10618.23,10611.5,12013.52,12010.88,12008.24,15515.86,15510.2,15499.62,17702.56,17698.41,17694.26,20409.86,20402.14,20387.71,23391.58,23385.91,23380.25
0.04141.2Southern,2057.5,2057.5,2057.5,2057.5,2057.5,2057.5,6955.8,6954.26,6951.37,7750.8,7749.66,7748.53,13484.07,13480.46,13473.73,15340.3,15337.66,15335.02,20013.69,20008.03,19997.45,22930.32,22926.17,22922.02,26543.28,26535.56,26521.13,30520.31,30514.64,30508.98
0.02171.2Southern,2711.5,2711.5,2711.5,2711.5,2711.5,2711.5,5155.86,5154.32,5151.43,5552.94,5551.8,5550.67,8413.61,8410,8403.27,9340.74,9338.1,9335.46,11672.03,11666.37,11655.79,13128.8,13124.65,13120.5,14930.44,14922.72,14908.29,16916.85,16911.18,16905.52
0.03171.2Southern,2711.5,2711.5,2711.5,2711.5,2711.5,2711.5,6382.83,6381.29,6378.4,6978.87,6977.73,6976.6,11275.84,11272.23,11265.5,12667.52,12664.88,12662.24,16169.86,16164.2,16153.62,18356.56,18352.41,18348.26,21063.86,21056.14,21041.71,24045.58,24039.91,24034.25
0.04171.2Southern,2711.5,2711.5,2711.5,2711.5,2711.5,2711.5,7609.8,7608.26,7605.37,8404.8,8403.66,8402.53,14138.07,14134.46,14127.73,15994.3,15991.66,15989.02,20667.69,20662.03,20651.45,23584.32,23580.17,23576.02,27197.28,27189.56,27175.13,31174.31,31168.64,31162.98
0.02111.5Southern,3508.75,3508.75,3508.75,3508.75,3508.75,3508.75,5953.11,5951.57,5948.68,6350.19,6349.05,6347.92,9210.86,9207.25,9200.52,10137.99,10135.35,10132.71,12469.28,12463.62,12453.04,13926.05,13921.9,13917.75,15727.69,15719.97,15705.54,17714.1,17708.43,17702.77
