,0.00Fixed4.6,0.00Fixed6.4,0.00Fixed8.2,0.00Tracking4.6,0.00Tracking6.4,0.00Tracking8.2,0.25Fixed4.6,0.25Fixed6.4,0.25Fixed8.2,0.25Tracking4.6,0.25Tracking6.4,0.25Tracking8.2,0.50Fixed4.6,0.50Fixed6.4,0.50Fixed8.2,0.50Tracking4.6,0.50Tracking6.4,0.50Tracking8.2,0.75Fixed4.6,0.75Fixed6.4,0.75Fixed8.2,0.75Tracking4.6,0.75Tracking6.4,0.75Tracking8.2,1.00Fixed4.6,1.00Fixed6.4,1.00Fixed8.2,1.00Tracking4.6,1.00Tracking6.4,1.00Tracking8.2
0.02200.1Central,-18198,-18198,-18198,-18198,-18198,-18198,-15827.78,-15829.32,-15832.21,-15455.92,-15457.06,-15458.19,-12668.73,-12672.34,-12679.07,-11800.56,-11803.2,-11805.84,-9509.07,-9514.73,-9525.31,-8144.98,-8149.13,-8153.28,-6349.42,-6357.14,-6371.57,-4489.37,-4495.04,-4500.7
0.03200.1Central,-18198,-18198,-18198,-18198,-18198,-18198,-14637.88,-14639.42,-14642.31,-14079.67,-14080.81,-14081.94,-9892.92,-9896.53,-9903.26,-8589.68,-8592.32,-8594.96,-5147.04,-5152.7,-5163.28,-3099.36,-3103.51,-3107.66,-401.18,-408.9,-423.33,2391,2385.33,2379.67
0.04200.1Central,-18198,-18198,-18198,-18198,-18198,-18198,-13447.98,-13449.52,-13452.41,-12703.42,-12704.56,-12705.69,-7117.11,-7120.72,-7127.45,-5378.8,-5381.44,-5384.08,-785.01,-790.67,-801.25,1946.26,1942.11,1937.96,5547.06,5539.34,5524.91,9271.37,9265.7,9260.04
0.02230.1Central,-21870,-21870,-21870,-21870,-21870,-21870,-19499.78,-19501.32,-19504.21,-19127.92,-19129.06,-19130.19,-16340.73,-16344.34,-16351.07,-15472.56,-15475.2,-15477.84,-13181.07,-13186.73,-13197.31,-11816.98,-11821.13,-11825.28,-10021.42,-10029.14,-10043.57,-8161.37,-8167.04,-8172.7
0.03230.1Central,-21870,-21870,-21870,-21870,-21870,-21870,-18309.88,-18311.42,-18314.31,-17751.67,-17752.81,-17753.94,-13564.92,-13568.53,-13575.26,-12261.68,-12264.32,-12266.96,-8819.04,-8824.7,-8835.28,-6771.36,-6775.51,-6779.66,-4073.18,-4080.9,-4095.33,-1281,-1286.67,-1292.33
0.04230.1Central,-21870,-21870,-21870,-21870,-21870,-21870,-17119.98,-17121.52,-17124.41,-16375.42,-16376.56,-16377.69,-10789.11,-10792.72,-10799.45,-9050.8,-9053.44,-9056.08,-4457.01,-4462.67,-4473.25,-1725.74,-1729.89,-1734.04,1875.06,1867.34,1852.91,5599.37,5593.7,5588.04
0.02170.3Central,-11298,-11298,-11298,-11298,-11298,-11298,-8927.78,-8929.32,-8932.21,-8555.92,-8557.06,-8558.19,-5768.73,-5772.34,-5779.07,-4900.56,-4903.2,-4905.84,-2609.07,-2614.73,-2625.31,-1244.98,-1249.13,-1253.28,550.58,542.86,528.43,2410.63,2404.96,2399.3
0.03170.3Central,-11298,-11298,-11298,-11298,-11298,-11298,-7737.88,-7739.42,-7742.31,-7179.67,-7180.81,-7181.94,-2992.92,-2996.53,-3003.26,-1689.68,-1692.32,-1694.96,1752.96,1747.3,1736.72,3800.64,3796.49,3792.34,6498.82,6491.1,6476.67,9291,9285.33,9279.67
0.04170.3Central,-11298,-11298,-11298,-11298,-11298,-11298,-6547.98,-6549.52,-6552.41,-5803.42,-5804.56,-5805.69,-217.11,-220.72,-227.45,1521.2,1518.56,1515.92,6114.99,6109.33,6098.75,8846.26,8842.11,8837.96,12447.06,12439.34,12424.91,16171.37,16165.7,16160.04
0.02200.3Central,-14154,-14154,-14154,-14154,-14154,-14154,-11783.78,-11785.32,-11788.21,-11411.92,-11413.06,-11414.19,-8624.73,-8628.34,-8635.07,-7756.56,-7759.2,-7761.84,-5465.07,-5470.73,-5481.31,-4100.98,-4105.13,-4109.28,-2305.42,-2313.14,-2327.57,-445.37,-451.04,-456.7
