Source: The cost of PV + Crops (reinforced regular mount) holds panels at 8.2 ft above the ground while maintaining structural integrity under wind and snow loads.
Inter-row spacing is 44 degrees except for vertical mount (90-degree). Panel height taken from Table 1, Page 7, https://www.nrel.gov/docs/fy21osti/77811.pdf
Site preparation cost is included under install labor and equipment and contribute to difference in cost across the scenario.

Suggested Citation
Horowitz, Kelsey, Vignesh Ramasamy, Jordan Macknick and Robert Margolis. 2020. Capital Costs for Dual-Use Photovoltaic Installations: 2020 Benchmark for Ground Mounted PV Systems with Pollinator-Friendly Vegetation, Grazing, and Crops. Golden, CO: National Renewable Energy Laboratory. NREL/TP-6A20-77811. https://www.nrel.gov/docs/fy21osti/77811.pdf.

AV Types	Item	Cost ($)	Panel Height (ft.)	Total Cost ($)
PV + Crops (Vertical Mount)	Developer Overhead	0.18	6.4	1.83
PV + Crops (Vertical Mount)	Contingency(3%)	0.06	6.4	1.83
PV + Crops (Vertical Mount)	Interconnection Fee	0.03	6.4	1.83
PV + Crops (Vertical Mount)	Permitting Fee (if any)	0.02	6.4	1.83
PV + Crops (Vertical Mount)	Sale Tax (if any)	0.06	6.4	1.83
PV + Crops (Vertical Mount)	EPC Overhead	0.17	6.4	1.83
PV + Crops (Vertical Mount)	Installation and Labor Cost	0.25	6.4	1.83
PV + Crops (Vertical Mount)	Electrical BOS	0.25	6.4	1.83
PV + Crops (Vertical Mount)	Structural BOS	0.21	6.4	1.83
PV + Crops (Vertical Mount)	Inverter Only	0.08	6.4	1.83
PV + Crops (Vertical Mount)	Module	0.40	6.4	1.83
PV + Crops (Tracker Stilt Mount)	EPC/Developer Net Profit	0.16	8.2	2.09
PV + Crops (Tracker Stilt Mount)	Developer Overhead	0.20	8.2	2.09
PV + Crops (Tracker Stilt Mount)	Contingency(3%)	0.07	8.2	2.09
PV + Crops (Tracker Stilt Mount)     	Interconnection Fee	0.03	8.2	2.09
PV + Crops (Tracker Stilt Mount)     	Permitting Fee (if any)	0.02	8.2	2.09
PV + Crops (Tracker Stilt Mount)     	Sale Tax (if any)	0.07	8.2	2.09
PV + Crops (Tracker Stilt Mount)     	EPC Overhead	0.19	8.2	2.09
PV + Crops (Tracker Stilt Mount)     	Installation and Labor Cost	0.22	8.2	2.09
PV + Crops (Tracker Stilt Mount)     	Electrical BOS	0.27	8.2	2.09
PV + Crops (Tracker Stilt Mount)     	Structural BOS	0.40	8.2	2.09
PV + Crops (Tracker Stilt Mount)     	Inverter Only	0.08	8.2	2.09
PV + Crops (Tracker Stilt Mount)     	Module	0.40	8.2	2.09
PV + Crops (Reinforced Regular Mount)	EPC/Developer Net Profit	0.17	8.2	2.33
PV + Crops (Reinforced Regular Mount)	Developer Overhead	0.22	8.2	2.33
PV + Crops (Reinforced Regular Mount)	Contingency(3%)	0.07	8.2	2.33
PV + Crops (Reinforced Regular Mount)	Interconnection Fee	0.03	8.2	2.33
PV + Crops (Reinforced Regular Mount)	Permitting Fee (if any)	0.02	8.2	2.33
PV + Crops (Reinforced Regular Mount)	Sale Tax (if any)	0.07	8.2	2.33
PV + Crops (Reinforced Regular Mount)	EPC Overhead	0.25	8.2	2.33
PV + Crops (Reinforced Regular Mount)	Installation and Labor Cost	0.32	8.2	2.33
PV + Crops (Reinforced Regular Mount)	Electrical BOS	0.38	8.2	2.33
PV + Crops (Reinforced Regular Mount)	Structural BOS	0.32	8.2	2.33
PV + Crops (Reinforced Regular Mount)	Inverter Only	0.08	8.2	2.33
PV + Crops (Reinforced Regular Mount)	Module	0.40	8.2	2.33
