"","0.00%_Fixed_4.6","0.00%_Fixed_6.4","0.00%_Fixed_8.2","0.00%_Tracking_4.6","0.00%_Tracking_6.4","0.00%_Tracking_8.2","0.25%_Fixed_4.6","0.25%_Fixed_6.4","0.25%_Fixed_8.2","0.25%_Tracking_4.6","0.25%_Tracking_6.4","0.25%_Tracking_8.2","0.50%_Fixed_4.6","0.50%_Fixed_6.4","0.50%_Fixed_8.2","0.50%_Tracking_4.6","0.50%_Tracking_6.4","0.50%_Tracking_8.2","0.75%_Fixed_4.6","0.75%_Fixed_6.4","0.75%_Fixed_8.2","0.75%_Tracking_4.6","0.75%_Tracking_6.4","0.75%_Tracking_8.2","1.00%_Fixed_4.6","1.00%_Fixed_6.4","1.00%_Fixed_8.2","1.00%_Tracking_4.6","1.00%_Tracking_6.4","1.00%_Tracking_8.2"
"0.03_23_0.3_Black Belt",-3310.62,-3310.62,-3310.62,-3310.62,-3310.62,-3310.62,394.49,392.95,390.06,974.25,973.12,971.99,5332.39,5328.79,5322.06,6686.22,6683.58,6680.93,10271.39,10265.73,10255.15,12398.56,12394.4,12390.25,15210.35,15202.64,15188.21,18110.88,18105.22,18099.55
"0.04_23_0.3_Black Belt",-3310.62,-3310.62,-3310.62,-3310.62,-3310.62,-3310.62,1632.72,1631.18,1628.29,2406.02,2404.89,2403.75,8220.85,8217.25,8210.51,10026.6,10023.96,10021.32,14810.43,14804.77,14794.19,17647.69,17643.53,17639.38,21399.98,21392.26,21377.83,25268.75,25263.09,25257.42
"0.02_17_0.5_Black Belt",-2530.62,-2530.62,-2530.62,-2530.62,-2530.62,-2530.62,-63.74,-65.28,-68.17,322.49,321.36,320.22,3223.94,3220.34,3213.6,4125.83,4123.19,4120.55,6512.34,6506.68,6496.1,7929.43,7925.27,7921.12,9800.73,9793.01,9778.58,11733.01,11727.35,11721.68
"0.03_17_0.5_Black Belt",-2530.62,-2530.62,-2530.62,-2530.62,-2530.62,-2530.62,1174.49,1172.95,1170.06,1754.25,1753.12,1751.99,6112.39,6108.79,6102.06,7466.22,7463.58,7460.93,11051.39,11045.73,11035.15,13178.56,13174.4,13170.25,15990.35,15982.64,15968.21,18890.88,18885.22,18879.55
"0.04_17_0.5_Black Belt",-2530.62,-2530.62,-2530.62,-2530.62,-2530.62,-2530.62,2412.72,2411.18,2408.29,3186.02,3184.89,3183.75,9000.85,8997.25,8990.51,10806.6,10803.96,10801.32,15590.43,15584.77,15574.19,18427.69,18423.53,18419.38,22179.98,22172.26,22157.83,26048.75,26043.09,26037.42
"0.02_20_0.5_Black Belt",-490.62,-490.62,-490.62,-490.62,-490.62,-490.62,1976.26,1974.72,1971.83,2362.49,2361.36,2360.22,5263.94,5260.34,5253.6,6165.83,6163.19,6160.55,8552.34,8546.68,8536.1,9969.43,9965.27,9961.12,11840.73,11833.01,11818.58,13773.01,13767.35,13761.68
"0.03_20_0.5_Black Belt",-490.62,-490.62,-490.62,-490.62,-490.62,-490.62,3214.49,3212.95,3210.06,3794.25,3793.12,3791.99,8152.39,8148.79,8142.06,9506.22,9503.58,9500.93,13091.39,13085.73,13075.15,15218.56,15214.4,15210.25,18030.35,18022.64,18008.21,20930.88,20925.22,20919.55
"0.04_20_0.5_Black Belt",-490.62,-490.62,-490.62,-490.62,-490.62,-490.62,4452.72,4451.18,4448.29,5226.02,5224.89,5223.75,11040.85,11037.25,11030.51,12846.6,12843.96,12841.32,17630.43,17624.77,17614.19,20467.69,20463.53,20459.38,24219.98,24212.26,24197.83,28088.75,28083.09,28077.42
"0.02_23_0.5_Black Belt",1549.38,1549.38,1549.38,1549.38,1549.38,1549.38,4016.26,4014.72,4011.83,4402.49,4401.36,4400.22,7303.94,7300.34,7293.6,8205.83,8203.19,8200.55,10592.34,10586.68,10576.1,12009.43,12005.27,12001.12,13880.73,13873.01,13858.58,15813.01,15807.35,15801.68
"0.03_23_0.5_Black Belt",1549.38,1549.38,1549.38,1549.38,1549.38,1549.38,5254.49,5252.95,5250.06,5834.25,5833.12,5831.99,10192.39,10188.79,10182.06,11546.22,11543.58,11540.93,15131.39,15125.73,15115.15,17258.56,17254.4,17250.25,20070.35,20062.64,20048.21,22970.88,22965.22,22959.55
"0.04_23_0.5_Black Belt",1549.38,1549.38,1549.38,1549.38,1549.38,1549.38,6492.72,6491.18,6488.29,7266.02,7264.89,7263.75,13080.85,13077.25,13070.51,14886.6,14883.96,14881.32,19670.43,19664.77,19654.19,22507.69,22503.53,22499.38,26259.98,26252.26,26237.83,30128.75,30123.09,30117.42
"0.02_17_0.7_Black Belt",697.38,697.38,697.38,697.38,697.38,697.38,3164.26,3162.72,3159.83,3550.49,3549.36,3548.22,6451.94,6448.34,6441.6,7353.83,7351.19,7348.55,9740.34,9734.68,9724.1,11157.43,11153.27,11149.12,13028.73,13021.01,13006.58,14961.01,14955.35,14949.68
"0.03_17_0.7_Black Belt",697.38,697.38,697.38,697.38,697.38,697.38,4402.49,4400.95,4398.06,4982.25,4981.12,4979.99,9340.39,9336.79,9330.06,10694.22,10691.58,10688.93,14279.39,14273.73,14263.15,16406.56,16402.4,16398.25,19218.35,19210.64,19196.21,22118.88,22113.22,22107.55
"0.04_17_0.7_Black Belt",697.38,697.38,697.38,697.38,697.38,697.38,5640.72,5639.18,5636.29,6414.02,6412.89,6411.75,12228.85,12225.25,12218.51,14034.6,14031.96,14029.32,18818.43,18812.77,18802.19,21655.69,21651.53,21647.38,25407.98,25400.26,25385.83,29276.75,29271.09,29265.42
"0.02_20_0.7_Black Belt",3553.38,3553.38,3553.38,3553.38,3553.38,3553.38,6020.26,6018.72,6015.83,6406.49,6405.36,6404.22,9307.94,9304.34,9297.6,10209.83,10207.19,10204.55,12596.34,12590.68,12580.1,14013.43,14009.27,14005.12,15884.73,15877.01,15862.58,17817.01,17811.35,17805.68
"0.03_20_0.7_Black Belt",3553.38,3553.38,3553.38,3553.38,3553.38,3553.38,7258.49,7256.95,7254.06,7838.25,7837.12,7835.99,12196.39,12192.79,12186.06,13550.22,13547.58,13544.93,17135.39,17129.73,17119.15,19262.56,19258.4,19254.25,22074.35,22066.64,22052.21,24974.88,24969.22,24963.55
"0.04_20_0.7_Black Belt",3553.38,3553.38,3553.38,3553.38,3553.38,3553.38,8496.72,8495.18,8492.29,9270.02,9268.89,9267.75,15084.85,15081.25,15074.51,16890.6,16887.96,16885.32,21674.43,21668.77,21658.19,24511.69,24507.53,24503.38,28263.98,28256.26,28241.83,32132.75,32127.09,32121.42
"0.02_23_0.7_Black Belt",6409.38,6409.38,6409.38,6409.38,6409.38,6409.38,8876.26,8874.72,8871.83,9262.49,9261.36,9260.22,12163.94,12160.34,12153.6,13065.83,13063.19,13060.55,15452.34,15446.68,15436.1,16869.43,16865.27,16861.12,18740.73,18733.01,18718.58,20673.01,20667.35,20661.68
"0.03_23_0.7_Black Belt",6409.38,6409.38,6409.38,6409.38,6409.38,6409.38,10114.49,10112.95,10110.06,10694.25,10693.12,10691.99,15052.39,15048.79,15042.06,16406.22,16403.58,16400.93,19991.39,19985.73,19975.15,22118.56,22114.4,22110.25,24930.35,24922.64,24908.21,27830.88,27825.22,27819.55
"0.04_23_0.7_Black Belt",6409.38,6409.38,6409.38,6409.38,6409.38,6409.38,11352.72,11351.18,11348.29,12126.02,12124.89,12123.75,17940.85,17937.25,17930.51,19746.6,19743.96,19741.32,24530.43,24524.77,24514.19,27367.69,27363.53,27359.38,31119.98,31112.26,31097.83,34988.75,34983.09,34977.42
"0.02_17_1.0_Black Belt",5539.38,5539.38,5539.38,5539.38,5539.38,5539.38,8006.26,8004.72,8001.83,8392.49,8391.36,8390.22,11293.94,11290.34,11283.6,12195.83,12193.19,12190.55,14582.34,14576.68,14566.1,15999.43,15995.27,15991.12,17870.73,17863.01,17848.58,19803.01,19797.35,19791.68
