"","0.00%_Fixed_4.6","0.00%_Fixed_6.4","0.00%_Fixed_8.2","0.00%_Tracking_4.6","0.00%_Tracking_6.4","0.00%_Tracking_8.2","0.25%_Fixed_4.6","0.25%_Fixed_6.4","0.25%_Fixed_8.2","0.25%_Tracking_4.6","0.25%_Tracking_6.4","0.25%_Tracking_8.2","0.50%_Fixed_4.6","0.50%_Fixed_6.4","0.50%_Fixed_8.2","0.50%_Tracking_4.6","0.50%_Tracking_6.4","0.50%_Tracking_8.2","0.75%_Fixed_4.6","0.75%_Fixed_6.4","0.75%_Fixed_8.2","0.75%_Tracking_4.6","0.75%_Tracking_6.4","0.75%_Tracking_8.2","1.00%_Fixed_4.6","1.00%_Fixed_6.4","1.00%_Fixed_8.2","1.00%_Tracking_4.6","1.00%_Tracking_6.4","1.00%_Tracking_8.2"
"0.02_17_0.3_Central",341.37,341.37,341.37,341.37,341.37,341.37,2681.46,2679.91,2677.03,3045.15,3044.02,3042.89,5800.32,5796.72,5789.99,6649.47,6646.83,6644.18,8919.82,8914.16,8903.58,10254.02,10249.87,10245.72,12039.28,12031.57,12017.13,13858.57,13852.91,13847.25
"0.03_17_0.3_Central",341.37,341.37,341.37,341.37,341.37,341.37,3856.29,3854.75,3851.86,4402.26,4401.13,4399.99,8540.98,8537.38,8530.64,9815.68,9813.04,9810.39,13226.61,13220.95,13210.37,15229.46,15225.3,15221.15,17912.19,17904.48,17890.04,20643.23,20637.57,20631.91
"0.04_17_0.3_Central",341.37,341.37,341.37,341.37,341.37,341.37,5031.13,5029.58,5026.7,5759.36,5758.23,5757.1,11281.63,11278.03,11271.3,12981.89,12979.25,12976.6,17533.4,17527.74,17517.16,20204.89,20200.74,20196.59,23785.1,23777.39,23762.95,27427.89,27422.23,27416.57
"0.02_11_0.5_Central",-217.13,-217.13,-217.13,-217.13,-217.13,-217.13,2122.96,2121.41,2118.53,2486.65,2485.52,2484.39,5241.82,5238.22,5231.49,6090.97,6088.33,6085.68,8361.32,8355.66,8345.08,9695.52,9691.37,9687.22,11480.78,11473.07,11458.63,13300.07,13294.41,13288.75
"0.03_11_0.5_Central",-217.13,-217.13,-217.13,-217.13,-217.13,-217.13,3297.79,3296.25,3293.36,3843.76,3842.63,3841.49,7982.48,7978.88,7972.14,9257.18,9254.54,9251.89,12668.11,12662.45,12651.87,14670.96,14666.8,14662.65,17353.69,17345.98,17331.54,20084.73,20079.07,20073.41
"0.04_11_0.5_Central",-217.13,-217.13,-217.13,-217.13,-217.13,-217.13,4472.63,4471.08,4468.2,5200.86,5199.73,5198.6,10723.13,10719.53,10712.8,12423.39,12420.75,12418.1,16974.9,16969.24,16958.66,19646.39,19642.24,19638.09,23226.6,23218.89,23204.45,26869.39,26863.73,26858.07
"0.02_14_0.5_Central",1417.87,1417.87,1417.87,1417.87,1417.87,1417.87,3757.96,3756.41,3753.53,4121.65,4120.52,4119.39,6876.82,6873.22,6866.49,7725.97,7723.33,7720.68,9996.32,9990.66,9980.08,11330.52,11326.37,11322.22,13115.78,13108.07,13093.63,14935.07,14929.41,14923.75
"0.03_14_0.5_Central",1417.87,1417.87,1417.87,1417.87,1417.87,1417.87,4932.79,4931.25,4928.36,5478.76,5477.63,5476.49,9617.48,9613.88,9607.14,10892.18,10889.54,10886.89,14303.11,14297.45,14286.87,16305.96,16301.8,16297.65,18988.69,18980.98,18966.54,21719.73,21714.07,21708.41
"0.04_14_0.5_Central",1417.87,1417.87,1417.87,1417.87,1417.87,1417.87,6107.63,6106.08,6103.2,6835.86,6834.73,6833.6,12358.13,12354.53,12347.8,14058.39,14055.75,14053.1,18609.9,18604.24,18593.66,21281.39,21277.24,21273.09,24861.6,24853.89,24839.45,28504.39,28498.73,28493.07
"0.02_17_0.5_Central",3052.87,3052.87,3052.87,3052.87,3052.87,3052.87,5392.96,5391.41,5388.53,5756.65,5755.52,5754.39,8511.82,8508.22,8501.49,9360.97,9358.33,9355.68,11631.32,11625.66,11615.08,12965.52,12961.37,12957.22,14750.78,14743.07,14728.63,16570.07,16564.41,16558.75
"0.03_17_0.5_Central",3052.87,3052.87,3052.87,3052.87,3052.87,3052.87,6567.79,6566.25,6563.36,7113.76,7112.63,7111.49,11252.48,11248.88,11242.14,12527.18,12524.54,12521.89,15938.11,15932.45,15921.87,17940.96,17936.8,17932.65,20623.69,20615.98,20601.54,23354.73,23349.07,23343.41
